type,crm,local_id,uri
object,E22_Human-Made_Object,gnd-1069334995,https://hwgw.uzh.ch/artwork/gnd-1069334995
object,E22_Human-Made_Object,gnd-1069335258,https://hwgw.uzh.ch/artwork/gnd-1069335258
object,E22_Human-Made_Object,gnd-1069335584,https://hwgw.uzh.ch/artwork/gnd-1069335584
object,E22_Human-Made_Object,gnd-1069336092,https://hwgw.uzh.ch/artwork/gnd-1069336092
object,E22_Human-Made_Object,gnd-1069347191,https://hwgw.uzh.ch/artwork/gnd-1069347191
object,E22_Human-Made_Object,gnd-1069515000,https://hwgw.uzh.ch/artwork/gnd-1069515000
object,E22_Human-Made_Object,gnd-1069790168,https://hwgw.uzh.ch/artwork/gnd-1069790168
object,E22_Human-Made_Object,gnd-1069790729,https://hwgw.uzh.ch/artwork/gnd-1069790729
object,E22_Human-Made_Object,gnd-1069791113,https://hwgw.uzh.ch/artwork/gnd-1069791113
object,E22_Human-Made_Object,gnd-1069791636,https://hwgw.uzh.ch/artwork/gnd-1069791636
object,E22_Human-Made_Object,gnd-1069791962,https://hwgw.uzh.ch/artwork/gnd-1069791962
object,E22_Human-Made_Object,gnd-1069794333,https://hwgw.uzh.ch/artwork/gnd-1069794333
object,E22_Human-Made_Object,gnd-1069794899,https://hwgw.uzh.ch/artwork/gnd-1069794899
object,E22_Human-Made_Object,gnd-1069795186,https://hwgw.uzh.ch/artwork/gnd-1069795186
object,E22_Human-Made_Object,gnd-1069874442,https://hwgw.uzh.ch/artwork/gnd-1069874442
object,E22_Human-Made_Object,gnd-1069958751,https://hwgw.uzh.ch/artwork/gnd-1069958751
object,E22_Human-Made_Object,gnd-1069959006,https://hwgw.uzh.ch/artwork/gnd-1069959006
object,E22_Human-Made_Object,gnd-1069959251,https://hwgw.uzh.ch/artwork/gnd-1069959251
object,E22_Human-Made_Object,gnd-1069959553,https://hwgw.uzh.ch/artwork/gnd-1069959553
object,E22_Human-Made_Object,gnd-1069959847,https://hwgw.uzh.ch/artwork/gnd-1069959847
object,E22_Human-Made_Object,gnd-1069960179,https://hwgw.uzh.ch/artwork/gnd-1069960179
object,E22_Human-Made_Object,gnd-1069960586,https://hwgw.uzh.ch/artwork/gnd-1069960586
object,E22_Human-Made_Object,gnd-1069961132,https://hwgw.uzh.ch/artwork/gnd-1069961132
object,E22_Human-Made_Object,gnd-1070320927,https://hwgw.uzh.ch/artwork/gnd-1070320927
object,E22_Human-Made_Object,gnd-1070321346,https://hwgw.uzh.ch/artwork/gnd-1070321346
object,E22_Human-Made_Object,gnd-1070357278,https://hwgw.uzh.ch/artwork/gnd-1070357278
object,E22_Human-Made_Object,gnd-1070357405,https://hwgw.uzh.ch/artwork/gnd-1070357405
object,E22_Human-Made_Object,gnd-1070606081,https://hwgw.uzh.ch/artwork/gnd-1070606081
object,E22_Human-Made_Object,gnd-1070802107,https://hwgw.uzh.ch/artwork/gnd-1070802107
object,E22_Human-Made_Object,gnd-1070804762,https://hwgw.uzh.ch/artwork/gnd-1070804762
object,E22_Human-Made_Object,gnd-1070805432,https://hwgw.uzh.ch/artwork/gnd-1070805432
object,E22_Human-Made_Object,gnd-1070805866,https://hwgw.uzh.ch/artwork/gnd-1070805866
object,E22_Human-Made_Object,gnd-1070806269,https://hwgw.uzh.ch/artwork/gnd-1070806269
object,E22_Human-Made_Object,gnd-1070806552,https://hwgw.uzh.ch/artwork/gnd-1070806552
object,E22_Human-Made_Object,gnd-1070806846,https://hwgw.uzh.ch/artwork/gnd-1070806846
object,E22_Human-Made_Object,gnd-1070807176,https://hwgw.uzh.ch/artwork/gnd-1070807176
object,E22_Human-Made_Object,gnd-1070807451,https://hwgw.uzh.ch/artwork/gnd-1070807451
object,E22_Human-Made_Object,gnd-1070807729,https://hwgw.uzh.ch/artwork/gnd-1070807729
